| # | Filename | Lines | Status | Refs | Prod | Test | Recommendation | Phase0 Equivalent | Key Referrers |
| 72 | IdleEmoteAI.java | 24 | dead | 0 | 0 | 0 | delete | — | — |
| 73 | InstanceManager.java | 7 | stub | 0 | 0 | 0 | delete | — | — |
| 74 | KamaelAI.java | 20 | stub | 0 | 0 | 0 | delete | — | — |
| 75 | KarmaManager.java | 13 | superseded | 0 | 0 | 0 | archive | phase0/combat/TargetSelector (moral targeting) | — |
| 76 | LevelCappedAI.java | 24 | dead | 0 | 0 | 0 | delete | — | — |
| 77 | LineOfSight.java | 214 | superseded | 0 | 0 | 0 | archive | phase0/movement/GeoPathfinder (geometry checks) | — |
| 78 | LiveFeedbackBridge.java | 94 | active | 2 | 1 | 1 | keep | — | engine/LiveFeedbackBridgeTest.java, examples/GoalDrivenLoop.java |
| 79 | LongTermGoalsAI.java | 28 | active | 8 | 4 | 4 | keep | — | engine/StreamDFeedbackTest.java, engine/LiveFeedbackBridgeTest.java, engine/StreamGContentTest.java (+5 more) |
| 80 | LootDistributor.java | 11 | superseded | 0 | 0 | 0 | archive | phase0/party/PartyLootDistributor + phase0/inventory/AutoLootHandler | — |
| 81 | ManorAI.java | 51 | active | 2 | 2 | 0 | keep | — | engine/SeasonalScheduler.java, engine/ManorManager.java |
| 82 | ManorManager.java | 22 | superseded | 0 | 0 | 0 | archive | phase0/town/TownBehaviorEngine (manor interaction) | — |
| 83 | MentorSystemAI.java | 19 | stub | 0 | 0 | 0 | delete | — | — |
| 84 | MerchantAI.java | 202 | active-superseded | 3 | 2 | 1 | keep (transition) | phase0/town/BuyManager + SellManager + TownBehaviorEngine | engine/StreamETradeTest.java, engine/AIBrain.java, engine/AIPlayer.java |
| 85 | MerchantConfig.java | 134 | active | 1 | 1 | 0 | keep | — | engine/MerchantAI.java |
| 86 | MerchantDecision.java | 81 | active-superseded | 3 | 2 | 1 | keep (transition) | phase0/play/GoalDecision (decision object role) | engine/StreamETradeTest.java, engine/AIBrain.java, engine/MerchantAI.java |
| 87 | MerchantNPC.java | 47 | active | 3 | 3 | 0 | keep | — | engine/MerchantDecision.java, engine/AIBrain.java, engine/MerchantAI.java |
| 88 | MovementOptimizer.java | 7 | superseded | 0 | 0 | 0 | archive | phase0/movement/MovementController + GeoPathfinder | — |
| 89 | MovementPatternAI.java | 30 | active | 2 | 1 | 1 | keep | — | engine/StreamGBehaviorTest.java, engine/AIPlayer.java |
| 90 | NewbieGuideAI.java | 34 | superseded | 0 | 0 | 0 | archive | phase0/guide/RaceGuide + HuntZone | — |
| 91 | NoblesseAI.java | 28 | dead | 0 | 0 | 0 | delete | — | — |
| 92 | OlympiadAI.java | 21 | dead | 0 | 0 | 0 | delete | — | — |
| 93 | PKDecision.java | 112 | active-superseded | 2 | 1 | 1 | keep (transition) | phase0/combat/TargetSelector (target selection role) | engine/CombatAITest.java, engine/AIBrain.java |
| 94 | PartyState.java | 53 | active | 1 | 1 | 0 | keep | — | engine/SocialAI.java |
| 95 | PersistenceManager.java | 38 | active | 1 | 1 | 0 | keep | — | engine/AIPlayer.java |
| 96 | Phase0Config.java | 127 | active | 5 | 4 | 1 | keep | — | phase0/movement/Phase0MovementConfigTest.java, examples/FleetPlay.java, examples/Phase0Driver.java (+2 more) |
| 97 | Phase0Integration.java | 288 | active | 6 | 4 | 2 | keep | — | engine/Phase0IntegrationTest.java, engine/CombatAIPhase0Test.java, examples/Phase0Driver.java (+3 more) |
| 98 | PluginManager.java | 22 | superseded | 0 | 0 | 0 | archive | phase0/Phase0Wiring (plugin/wiring management) | — |
| 99 | PostSiegeCleanup.java | 18 | superseded | 0 | 0 | 0 | archive | phase0/party/SiegeParticipationStub | — |
| 100 | PvPSkillRotation.java | 72 | active | 3 | 1 | 2 | keep | — | engine/CombatAITest.java, engine/StreamGCombatTest.java, engine/CombatAI.java |
| 101 | PvPTargetPrioritizer.java | 50 | dead | 0 | 0 | 0 | delete | — | — |
| 102 | PvPVendettaAI.java | 21 | dead | 0 | 0 | 0 | delete | — | — |
| 103 | QuestAI.java | 252 | active-superseded | 4 | 4 | 0 | keep (transition) | phase0/quest/QuestExecutor + QuestProgressTracker | examples/QuestLoop.java, engine/LiveFeedbackBridge.java, engine/AIBrain.java (+1 more) |
| 104 | QuestConfig.java | 117 | active | 1 | 1 | 0 | keep | — | engine/QuestAI.java |
| 105 | QuestDecision.java | 112 | active-superseded | 5 | 5 | 0 | keep (transition) | phase0/play/GoalDecision (decision object role) | examples/QuestLoop.java, engine/QuestAI.java, engine/AIBrain.java (+2 more) |
| 106 | QuestFramePlanner.java | 58 | active-superseded | 2 | 2 | 0 | keep (transition) | phase0/play/QuestDialogDriver | examples/QuestLoop.java, engine/QuestAI.java |
| 107 | QuestGoal.java | 77 | dead | 0 | 0 | 0 | delete | phase0/play/QuestGoalPlanner | — |
| 108 | QuestState.java | 72 | active-superseded | 1 | 1 | 0 | keep (transition) | phase0/quest/QuestProgressTracker | engine/QuestAI.java |
| 109 | RaidBossAI.java | 46 | dead | 0 | 0 | 0 | delete | — | — |
| 110 | RangedKiteAI.java | 18 | active | 3 | 2 | 1 | keep | — | engine/StreamGCombatTest.java, examples/GoalDrivenLoop.java, engine/CombatAI.java |
| 111 | ResourceHoardingAI.java | 24 | active | 2 | 1 | 1 | keep | — | engine/StreamGBehaviorTest.java, engine/AIPlayer.java |
| 112 | RiftAI.java | 16 | stub | 0 | 0 | 0 | delete | — | — |
| 113 | SafeZoneManager.java | 115 | superseded | 0 | 0 | 0 | archive | phase0/death/RecoveryFlow + RespawnManager | — |
| 114 | SeasonalScheduler.java | 31 | active | 1 | 1 | 0 | keep | — | engine/ManorManager.java |
| 115 | SeedRegistry.java | 34 | superseded | 0 | 0 | 0 | archive | phase0/farm/ZoneDensityTracker (zone seeding) | — |
| 116 | SepulchersAI.java | 10 | stub | 0 | 0 | 0 | delete | — | — |
| 117 | SiegeBuffCoordinator.java | 40 | dead | 0 | 0 | 0 | delete | — | — |
| 118 | SiegeExitManager.java | 14 | stub | 0 | 0 | 0 | delete | — | — |
| 119 | SiegeLoreAI.java | 33 | dead | 0 | 0 | 0 | delete | — | — |
| 120 | SiegePositioning.java | 15 | stub | 0 | 0 | 0 | delete | — | — |
| 121 | SiegeRegistrationAI.java | 75 | superseded | 0 | 0 | 0 | archive | phase0/party/SiegeParticipationStub | — |
| 122 | SiegeTiming.java | 22 | dead | 0 | 0 | 0 | delete | — | — |
| 123 | SiegeWeaponAI.java | 38 | dead | 0 | 0 | 0 | delete | — | — |
| 124 | SkillAllocator.java | 26 | active | 2 | 1 | 1 | keep | — | engine/StreamGCombatTest.java, engine/CombatAI.java |
| 125 | SkillLearningAI.java | 35 | superseded | 0 | 0 | 0 | archive | phase0/quest/LevelingPlanner (skill learning path) | — |
| 126 | SocialAI.java | 242 | active-superseded | 3 | 2 | 1 | keep (transition) | phase0/social/SocialBehaviorEngine + ChatResponder | engine/StreamESocialTest.java, engine/AIBrain.java, engine/AIPlayer.java |
| 127 | SocialConfig.java | 151 | active | 1 | 1 | 0 | keep | — | engine/SocialAI.java |
| 128 | SocialDecision.java | 99 | active-superseded | 3 | 2 | 1 | keep (transition) | phase0/play/GoalDecision (decision object role) | engine/StreamESocialTest.java, engine/AIBrain.java, engine/SocialAI.java |
| 129 | SoloGroupAI.java | 20 | stub | 0 | 0 | 0 | delete | — | — |
| 130 | StateMonitor.java | 25 | superseded | 0 | 0 | 0 | archive | phase0/GameStateMirror (state mirroring) | — |
| 131 | SubclassAI.java | 29 | superseded | 0 | 0 | 0 | archive | phase0/quest/ClassChangeManager | — |
| 132 | TaxCalculator.java | 22 | dead | 0 | 0 | 0 | delete | — | — |
| 133 | TerritoryNPCDefense.java | 23 | superseded | 0 | 0 | 0 | archive | phase0/party/SiegeParticipationStub | — |
| 134 | ThreadMonitor.java | 26 | superseded | 0 | 0 | 0 | archive | metrics/PerformanceMetrics (monitoring) | — |
| 135 | TradePersonalityAI.java | 29 | dead | 0 | 0 | 0 | delete | — | — |
| 136 | VendettaTracker.java | 17 | stub | 0 | 0 | 0 | delete | — | — |
| 137 | VendettaTrackingAI.java | 31 | dead | 0 | 0 | 0 | delete | — | — |
| 138 | VillageMasterAI.java | 35 | superseded | 0 | 0 | 0 | archive | phase0/quest/ClassChangeManager | — |
| 139 | VitalityManager.java | 27 | superseded | 0 | 0 | 0 | archive | phase0/farm/RespawnTimer (vitality/regen cycle) | — |
| 140 | WhisperResponseAI.java | 24 | dead | 0 | 0 | 0 | delete | — | — |
| 141 | ZoneBuffManager.java | 16 | superseded | 0 | 0 | 0 | archive | phase0/inventory/ConsumableManager (buff items) | — |
