### D.1: Stub Files (18 files — tiny stubs with 0 external references)

| # | File | Lines | Phase0 Equivalent |
| 23 | IdleEmoteAI.java | 24 | no phase0 equivalent |
| 24 | LevelCappedAI.java | 24 | no phase0 equivalent |
| 25 | NoblesseAI.java | 28 | no phase0 equivalent |
| 26 | OlympiadAI.java | 21 | no phase0 equivalent |
| 27 | PvPTargetPrioritizer.java | 50 | no phase0 equivalent |
| 28 | PvPVendettaAI.java | 21 | no phase0 equivalent |
| 29 | QuestGoal.java | 77 | phase0/play/QuestGoalPlanner |
| 30 | RaidBossAI.java | 46 | no phase0 equivalent |
| 31 | SiegeBuffCoordinator.java | 40 | no phase0 equivalent |
| 32 | SiegeLoreAI.java | 33 | no phase0 equivalent |
| 33 | SiegeTiming.java | 22 | no phase0 equivalent |
| 34 | SiegeWeaponAI.java | 38 | no phase0 equivalent |
| 35 | TaxCalculator.java | 22 | no phase0 equivalent |
| 36 | TradePersonalityAI.java | 29 | no phase0 equivalent |
| 37 | VendettaTrackingAI.java | 31 | no phase0 equivalent |
| 38 | WhisperResponseAI.java | 24 | no phase0 equivalent |

### D.3: Superseded Files (30 files — 0 refs, have phase0 equivalents, archive for reference)

| # | File | Lines | Phase0 Equivalent |
|---|------|-------|-------------------|
| 1 | AIDiagnostics.java | 20 | metrics/PerformanceMetrics (diagnostics) |
| 2 | AIProfiler.java | 24 | metrics/PerformanceMetrics (profiling) |
| 3 | AntiStuckDetection.java | 12 | phase0/movement/StuckDetector |
| 4 | ClassQuestAI.java | 48 | phase0/quest/ClassChangeManager |
| 5 | ContentUnlocker.java | 46 | phase0/quest/LevelingPlanner (level-gated content) |
| 6 | ControlRoomAI.java | 40 | monitor/AIMonitorDashboard (control room role) |
| 7 | DeathPenaltyAI.java | 22 | phase0/death/DeathHandler |
| 8 | EventAwareAI.java | 39 | phase0/director/DirectorAI (event awareness) |
| 9 | ExternalAPI.java | 26 | web/DashboardApi (external API surface) |
| 10 | HuntingPreferenceAI.java | 23 | phase0/farm/ZoneDensityTracker |
| 11 | HuntingRotation.java | 10 | phase0/farm/OptimalSpotSelector |
| 12 | KarmaManager.java | 13 | phase0/combat/TargetSelector (moral targeting) |
| 13 | LineOfSight.java | 214 | phase0/movement/GeoPathfinder (geometry checks) |
| 14 | LootDistributor.java | 11 | phase0/party/PartyLootDistributor + phase0/inventory/AutoLootHandler |
| 15 | ManorManager.java | 22 | phase0/town/TownBehaviorEngine (manor interaction) |
| 16 | MovementOptimizer.java | 7 | phase0/movement/MovementController + GeoPathfinder |
| 17 | NewbieGuideAI.java | 34 | phase0/guide/RaceGuide + HuntZone |
| 18 | PluginManager.java | 22 | phase0/Phase0Wiring (plugin/wiring management) |
| 19 | PostSiegeCleanup.java | 18 | phase0/party/SiegeParticipationStub |
| 20 | SafeZoneManager.java | 115 | phase0/death/RecoveryFlow + RespawnManager |
| 21 | SeedRegistry.java | 34 | phase0/farm/ZoneDensityTracker (zone seeding) |
| 22 | SiegeRegistrationAI.java | 75 | phase0/party/SiegeParticipationStub |
| 23 | SkillLearningAI.java | 35 | phase0/quest/LevelingPlanner (skill learning path) |
| 24 | StateMonitor.java | 25 | phase0/GameStateMirror (state mirroring) |
| 25 | SubclassAI.java | 29 | phase0/quest/ClassChangeManager |
| 26 | TerritoryNPCDefense.java | 23 | phase0/party/SiegeParticipationStub |
| 27 | ThreadMonitor.java | 26 | metrics/PerformanceMetrics (monitoring) |
| 28 | VillageMasterAI.java | 35 | phase0/quest/ClassChangeManager |
| 29 | VitalityManager.java | 27 | phase0/farm/RespawnTimer (vitality/regen cycle) |
| 30 | ZoneBuffManager.java | 16 | phase0/inventory/ConsumableManager (buff items) |

**Summary:** 56 dead/stub files (1582 lines) safe to delete. 30 superseded files (1091 lines) to archive.
